Frequency (Hz),Power (dBm)
10000000,-106.865187644707
10312197.2561643,-141.082724570977
10624394.5123285,-106.679968833672
10936591.7684928,-137.325720786797
11248789.024657,-105.353392600759
11560986.2808213,-138.454566001641
11873183.5369855,-106.068472861992
12185380.7931498,-136.49300289129
12497578.049314,-106.023634910331
12809775.3054783,-137.243353843438
13121972.5616426,-106.114752769218
13434169.8178068,-140.555701255547
13746367.0739711,-105.626006126151
14058564.3301353,-142.854575156915
14370761.5862996,-107.078223228203
14682958.8424638,-145.760504722344
14995156.0986281,-104.172278403965
15307353.3547923,-142.101981162774
15619550.6109566,-105.589957236991
15931747.8671208,-134.045584678399
16243945.1232851,-105.730315208182
16556142.3794494,-144.170798301446
16868339.6356136,-106.086012840019
17180536.8917779,-138.042883872735
17492734.1479421,-106.27854824041
17804931.4041064,-147.175925254571
18117128.6602706,-105.930174827323
18429325.9164349,-143.73714351629
18741523.1725991,-105.931632041679
19053720.4287634,-136.044547080743
19365917.6849277,-105.143034934742
19678114.9410919,-136.159186362969
19990312.1972562,-106.146941184746
20302509.4534204,-133.925696372735
20614706.7095847,-105.159911155445
20926903.9657489,-148.05631160711
21239101.2219132,-105.953627586113
21551298.4780774,-139.672873496758
21863495.7342417,-104.744643211106
22175692.990406,-137.612845420587
22487890.2465702,-106.645911216485
22800087.5027345,-131.77522945379
23112284.7588987,-106.255652427422
23424482.015063,-136.414130210626
23736679.2712272,-106.43643093084
24048876.5273915,-142.100317954766
24361073.7835557,-105.564780235037
24673271.03972,-140.955283164727
24985468.2958842,-106.752425193535
25297665.5520485,-149.200766563165
25609862.8082128,-105.838706016288
25922060.064377,-144.827017783868
26234257.3205413,-105.594565391287
26546454.5767055,-144.421927451837
26858651.8328698,-105.988348960624
27170849.089034,-139.987906455743
27483046.3451983,-106.263800620781
27795243.6013625,-140.499274253594
28107440.8575268,-105.522841453299
28419638.1136911,-136.321753501641
28731835.3698553,-104.917845725756
29044032.6260196,-135.427191734063
29356229.8821838,-106.860136985528
29668427.1383481,-133.746985435235
29980624.3945123,-105.737746238456
30292821.6506766,-141.09032344793
30605018.9068408,-105.940443992363
30917216.1630051,-138.75748348211
31229413.4191694,-105.541960715994
31541610.6753336,-134.724005698907
31853807.9314979,-106.078322410332
32166005.1876621,-136.352484702813
32478202.4438264,-105.504920005545
32790399.6999906,-168.608710288751
33102596.9561549,-106.803412437188
33414794.2123191,-135.090308189141
33726991.4684834,-105.663382529959
34039188.7246476,-142.737921714532
34351385.9808119,-105.92339992498
34663583.2369762,-139.392340659844
34975780.4931404,-106.514883994805
35287977.7493047,-143.847373008477
35600175.0054689,-105.915030479179
35912372.2616332,-136.387625694024
36224569.5177974,-107.134146690118
36536766.7739617,-136.228003501641
36848964.0301259,-105.953688621269
37161161.2862902,-145.74088191961
37473358.5424545,-105.127478599293
37785555.7986187,-142.349005698907
38097753.054783,-105.788039207206
38409950.3109472,-142.470114707696
38722147.5671115,-105.928267478691
39034344.8232757,-139.295783042657
39346542.07944,-106.471243858086
39658739.3356042,-140.27603816961
39970936.5917685,-104.003180503567
40283133.8479327,-141.198248862969
40595331.104097,-106.381293296562
40907528.3602613,-140.774771690118
41219725.6164255,-106.189322471367
41531922.8725898,-134.219000816094
41844120.128754,-105.886389732108
42156317.3849183,-136.469962119805
42468514.6410825,-106.607947349297
42780711.8972468,-132.030066489922
43092909.153411,-106.310889243828
43405106.4095753,-140.21858882879
43717303.6657396,-106.229903220879
44029500.9219038,-147.06217098211
44341698.1780681,-106.210646629082
44653895.4342323,-139.371649741876
44966092.6903966,-105.844504356132
45278289.9465608,-137.263709068047
45590487.2027251,-106.35293483709
45902684.4588893,-134.507544517266
46214881.7150536,-107.155341148125
46527078.9712178,-142.313895225274
46839276.2273821,-105.576552390799
47151473.4835464,-138.107718467462
47463670.7397106,-106.511252403008
47775867.9958749,-139.664893150079
48088065.2520391,-106.394248008476
48400262.5082034,-145.43033504461
48712459.7643676,-105.119727134449
49024657.0205319,-144.247672080743
49336854.2766961,-106.468924522148
49649051.5328604,-143.988089561212
49961248.7890247,-105.864661216483
50273446.0451889,-146.014441489922
50585643.3013532,-106.509520530449
50897840.5575174,-133.528861045587
51210037.8136817,-105.777777671561
51522235.0698459,-143.573493003594
51834432.3260102,-106.455649375664
52146629.5821744,-143.675894736993
52458826.8383387,-104.995581626635
52771024.094503,-138.054633140313
53083221.3506672,-106.18055629705
53395418.6068315,-142.601202964532
53707615.8629957,-106.196249961601
54019813.11916,-140.102667808282
54332010.3753242,-107.096068382012
54644207.6314885,-143.721014976251
54956404.8876527,-106.039481162773
55268602.143817,-143.441260337579
55580799.3999813,-106.080893516288
55892996.6561455,-144.632117271172
56205193.9123098,-105.4917287824
56517391.168474,-133.916266441094
56829588.4246383,-107.521147727715
57141785.6808025,-144.051291465508
57453982.9369668,-106.294058799492
57766180.193131,-140.07112789129
58078377.4492953,-106.880057334649
58390574.7054596,-136.126990318047
58702771.9616238,-106.479773521172
59014969.2177881,-148.613074302422
59327166.4739523,-104.089278220854
59639363.7301166,-142.235556602227
59951560.9862808,-106.60155391668
60263758.2424451,-144.969016074883
60575955.4986093,-106.143767356621
60888152.7547736,-150.600790977227
61200350.0109378,-105.408774375661
61512547.2671021,-136.64208126043
61824744.5232664,-105.980498313652
62136941.7794306,-138.719687461602
62449139.0355949,-105.782011985526
62761336.2917591,-144.106711387383
63073533.5479234,-105.99655818914
63385730.8040876,-145.721320152032
63697928.0602519,-106.360297202812
64010125.3164161,-144.355750083672
64322322.5725804,-106.111830711113
64634519.8287446,-140.265769004571
64946717.0849089,-106.028731345878
65258914.3410732,-139.182425498712
65571111.5972374,-106.917944907891
65883308.8534017,-139.449881553399
66195506.1095659,-105.798583030448
66507703.3657302,-140.611029624688
66819900.6218944,-104.862952232102
67132097.8780587,-148.557837486016
67444295.134223,-106.25559902166
67756492.3903872,-151.403464317071
68068689.6465515,-105.336874961598
68380886.9027157,-140.63069820379
68693084.15888,-105.408110618337
69005281.4150442,-141.447165488946
69317478.6712085,-106.227507590996
69629675.9273727,-134.674674033868
69941873.183537,-106.036368369804
70254070.4397012,-147.705039024102
70566267.6958655,-104.259970664708
70878464.9520297,-138.381583213555
71190662.208194,-105.688635825858
71502859.4643583,-132.95328426336
71815056.7205225,-106.139098167168
72127253.9766868,-136.775626182305
72439451.232851,-104.935950278978
72751648.4890153,-145.230277061212
73063845.7451795,-104.276656150549
73376043.0013438,-158.220969199883
73688240.257508,-106.091895103203
74000437.5136723,-136.63509273504
74312634.7698366,-106.546759605156
74624832.0260008,-135.773688316094
74937029.2821651,-106.130736350761
75249226.5383293,-136.613669395196
75561423.7944936,-105.570654868826
75873621.0506578,-148.528403281915
76185818.3068221,-104.651198386885
76498015.5629863,-141.249533653008
76810212.8191506,-106.028410911308
77122410.0753148,-131.940772056329
77434607.3314791,-106.497977256523
77746804.5876434,-139.936087608087
78059001.8438076,-106.439131736504
78371199.0999719,-137.102118491876
78683396.3561361,-105.242598533375
78995593.6123004,-145.27896785711
79307790.8684646,-106.172232627617
79619988.1246289,-142.51187801336
79932185.3807932,-105.814269065604
80244382.6369574,-137.642920493829
80556579.8931217,-106.12425136541
80868777.1492859,-143.239111900079
81180974.4054502,-106.602347373711
81493171.6616144,-137.434958457696
81805368.9177787,-105.257063865407
82117566.1739429,-153.947165488946
82429763.4301072,-105.986502647148
82741960.6862714,-142.520026206719
83054157.9424357,-106.527800559746
83366355.1986,-144.396704673516
83678552.4547642,-106.49143886541
83990749.7109285,-137.992850303399
84302946.9670927,-106.010443687187
84615144.223257,-137.782309531915
84927341.4794212,-105.796965598807
85239538.7355855,-145.600943565118
85551735.9917497,-106.610922813164
85863933.247914,-138.694403648126
86176130.5040783,-106.929533958184
86488327.7602425,-140.84520626043
86800525.0164068,-106.09429836248
87112722.272571,-138.360037803399
87424919.5287353,-105.943282127128
87737116.7848995,-144.455252647149
88049314.0410638,-106.506628989922
88361511.297228,-141.551169395196
88673708.5533923,-104.937926292162
88985905.8095566,-141.046652793633
89298103.0657208,-106.633078574883
89610300.3218851,-139.106802940118
89922497.5780493,-104.623412132002
90234694.8342136,-136.998663902032
90546892.0903778,-105.879805564628
90859089.3465421,-140.381217002618
91171286.6027063,-105.873572349296
91483483.8588706,-138.564108848321
91795681.1150348,-105.415358543142
92107878.3711991,-137.490759849297
92420075.6273634,-105.821425437675
92732272.8835276,-133.720175742852
93044470.1396919,-106.208388328301
93356667.3958561,-140.908972739922
93668864.6520204,-105.745764732108
93981061.9081846,-139.698187827813
94293259.1643489,-105.610922813162
94605456.4205131,-144.796820640313
94917653.6766774,-105.295287132009
95229850.9328417,-134.802817344415
95542048.1890059,-104.654807090499
95854245.4451702,-140.214529990899
96166442.7013344,-106.560881614434
96478639.9574987,-144.513556480157
96790837.2136629,-105.329512595876
97103034.4698272,-141.19791316961
97415231.7259914,-106.01706600164
97727428.9821557,-138.077765464532
98039626.2383199,-106.305548667656
98351823.4944842,-134.467398643243
98664020.7506485,-105.816458701835
98976218.0068127,-141.720145225274
99288415.262977,-106.813422202813
99600612.5191412,-139.973578452813
99912809.7753055,-103.670485496229
100225007.03147,-134.949103355157
100537204.287634,-106.160574912773
100849401.543798,-139.137579917657
101161598.799963,-105.781424522147
101473796.056127,-143.645026206719
101785993.312291,-106.977988242852
102098190.568455,-138.740149497735
102410387.82462,-103.904562949855
102722585.080784,-139.904364585626
103034782.336948,-106.29466152166
103346979.593112,-138.643301963555
103659176.849277,-104.923354148608
103971374.105441,-146.73355770086
104283571.361605,-106.152983665215
104595768.617769,-141.000403403985
104907965.873934,-105.104308128102
105220163.130098,-138.00047969793
105532360.386262,-105.54756069158
105844557.642426,-141.612036704766
106156754.898591,-104.83843135808
106468952.154755,-136.554282188165
106781149.410919,-105.993094444023
107093346.667083,-140.536993980157
107405543.923248,-105.399352073416
107717741.179412,-142.159079551446
108029938.435576,-105.277434348806
108342135.69174,-137.141745567071
108654332.947905,-105.956595420585
108966530.204069,-144.580115318047
109278727.460233,-104.435355186199
109590924.716397,-148.190955161797
109903121.972562,-106.684348106133
110215319.228726,-142.690024375665
110527516.48489,-105.55042171453
110839713.741054,-140.685202598321
111151910.997219,-105.848891257988
111464108.253383,-141.455496787774
111776305.509547,-105.257346153005
112088502.765711,-138.628287315118
112400700.021876,-106.589133262383
112712897.27804,-133.835104942071
113025094.534204,-106.093131065117
113337291.790368,-135.205115318047
113649489.046533,-106.031485557304
113961686.302697,-135.401419639337
114273883.558861,-106.089621543632
114586080.815025,-137.291022300469
114898278.07119,-104.93879604314
115210475.327354,-144.997656821954
115522672.583518,-104.716925620774
115834869.839682,-141.107718467462
116147067.095847,-104.276785850259
116459264.352011,-141.832449912774
116771461.608175,-104.442229270673
117083658.86434,-138.753149986016
117395856.120504,-105.799735069023
117708053.376668,-139.920310020196
118020250.632832,-105.613142966971
118332447.888997,-140.765570640313
118644645.145161,-105.039237022144
118956842.401325,-143.407752036797
119269039.657489,-105.639769553886
119581236.913654,-140.343146323907
119893434.169818,-105.95660304998
120205631.425982,-136.580603599297
120517828.682146,-105.200736045583
120830025.938311,-137.603796958672
121142223.194475,-106.005644798027
121454420.450639,-145.519949912774
121766617.706803,-106.716490745293
122078814.962968,-135.113409995782
122391012.219132,-104.578711509445
122703209.475296,-137.516806602227
123015406.73146,-105.626158714042
123327603.987625,-147.99642086004
123639801.243789,-104.719405173997
123951998.499953,-136.853476524102
124264195.756117,-105.548567771659
124576393.012282,-145.715506553399
124888590.268446,-105.959555625664
125200787.52461,-141.752875327813
125512984.780774,-105.15789699529
125825182.036939,-148.256491660821
126137379.293103,-105.056632041676
126449576.549267,-136.637305259454
126761773.805431,-105.826270103202
127073971.061596,-147.305792808282
127386168.31776,-105.205405235036
127698365.573924,-138.275794028985
128010562.830088,-105.464995383963
128322760.086253,-139.335730552422
128634957.342417,-104.446532249189
128947154.598581,-136.412299155938
129259351.854745,-104.188719749184
129571549.11091,-141.714285850274
129883746.367074,-104.354239463543
130195943.623238,-139.670584678399
130508140.879402,-104.617506980637
130820338.135567,-138.139868736016
131132535.391731,-104.794051170092
131444732.647895,-146.560202598321
131756929.904059,-105.915717124687
132069127.160224,-142.990042686212
132381324.416388,-105.261778831228
132693521.672552,-139.088416099297
133005718.928717,-105.218581199392
133317916.184881,-141.263983726251
133630113.441045,-105.786841392265
133942310.697209,-136.880988120782
134254507.953374,-105.138785361989
134566705.209538,-137.621954917657
134878902.465702,-106.55516719793
135191099.721866,-140.805853843438
135503296.978031,-105.889472007499
135815494.234195,-136.32730770086
136127691.490359,-105.714713096366
136439888.746523,-143.191779136407
136752086.002688,-104.910117149097
137064283.258852,-149.729193687188
137376480.515016,-106.191267966973
137688677.77118,-144.639182090508
138000875.027345,-105.368292808279
138313072.283509,-142.502875327813
138625269.539673,-105.506621360526
138937466.795837,-145.259787559258
139249664.052002,-104.966597556812
139561861.308166,-137.474753379571
139874058.56433,-104.072340965001
140186255.820494,-134.742880820977
140498453.076659,-104.920386314136
140810650.332823,-138.023154258477
141122847.588987,-104.15704250309
141435044.845151,-138.000617027032
141747242.101316,-105.705061912284
142059439.35748,-140.013861655938
142371636.613644,-105.144560813649
142683833.869808,-164.222922324883
142996031.125973,-105.150687217458
143308228.382137,-147.73046016668
143620425.638301,-104.795966148119
143932622.894465,-136.252478599297
144244820.15063,-105.517188071952
144557017.406794,-136.085150718438
144869214.662958,-105.737181663261
145181411.919122,-146.659674644219
145493609.175287,-105.476531028494
145805806.431451,-138.794638633477
146118003.687615,-104.597792625168
146430200.943779,-144.176093101251
146742398.199944,-104.814848899584
147054595.456108,-137.534720420587
147366792.712272,-104.311667442058
147678989.968437,-137.629767417657
147991187.224601,-104.631613731125
148303384.480765,-139.876715659844
148615581.736929,-103.917510032379
148927778.993094,-140.55826473211
149239976.249258,-105.045882224781
149552173.505422,-137.875250816094
149864370.761586,-104.343535423015
150176568.017751,-138.168738364922
150488765.273915,-104.162253379554
150800962.530079,-139.479392051446
151113159.786243,-104.92463588689
151425357.042408,-144.433112144219
151737554.298572,-105.558394431815
152049751.554736,-138.614127158868
152361948.8109,-104.798720359545
152674146.067065,-136.781455039727
152986343.323229,-105.032683372242
153298540.579393,-136.537695884454
153610737.835557,-105.425391196951
153922935.091722,-143.477957725274
154235132.347886,-105.491782188162
154547329.60405,-143.830969810235
154859526.860214,-105.964598655449
155171724.116379,-136.043829917657
155483921.372543,-105.204924583181
155796118.628707,-141.035040855157
156108315.884871,-105.23236751531
156420513.141036,-138.576926231133
156732710.3972,-106.602538108574
157044907.653364,-137.533560752618
157357104.909528,-105.907538413749
157669302.165693,-137.97330379461
157981499.421857,-105.494750022635
