TIME (S),Amplitude (V)
-4.99999953e-06,1.82906250e-01
-4.99995953e-06,9.20468750e-02
-4.99991953e-06,-7.23437500e-03
-4.99987953e-06,-4.98281250e-02
-4.99983953e-06,-1.09046875e-01
-4.99979953e-06,-1.59437500e-01
-4.99975953e-06,-1.88796875e-01
-4.99971953e-06,-1.20859375e-01
-4.99967953e-06,8.00000000e-03
-4.99963953e-06,6.21875000e-02
-4.99959953e-06,1.02296875e-01
-4.99955953e-06,1.50796875e-01
-4.99951953e-06,1.71375000e-01
-4.99947953e-06,1.18140625e-01
-4.99943953e-06,-7.84375000e-03
-4.99939953e-06,-9.79218750e-02
-4.99935953e-06,-1.30093750e-01
-4.99931953e-06,-1.42625000e-01
-4.99927953e-06,-1.63156250e-01
-4.99923953e-06,-1.27703125e-01
-4.99919953e-06,-5.07812500e-03
-4.99915953e-06,9.65625000e-02
-4.99911953e-06,1.36937500e-01
-4.99907953e-06,1.28718750e-01
-4.99903953e-06,1.35687500e-01
-4.99899953e-06,1.21218750e-01
-4.99895953e-06,1.34375000e-03
-4.99891953e-06,-1.04421875e-01
-4.99887953e-06,-1.54062500e-01
-4.99883953e-06,-1.51250000e-01
-4.99879953e-06,-1.15656250e-01
-4.99875953e-06,-1.05984375e-01
-4.99871953e-06,-2.34531250e-02
-4.99867953e-06,9.57187500e-02
-4.99863953e-06,1.52765625e-01
-4.99859953e-06,1.56156250e-01
-4.99855953e-06,1.09250000e-01
-4.99851953e-06,7.91250000e-02
-4.99847953e-06,1.99062500e-02
-4.99843953e-06,-1.00265625e-01
-4.99839953e-06,-1.73953125e-01
-4.99835953e-06,-1.72093750e-01
-4.99831953e-06,-1.14484375e-01
-4.99827953e-06,-5.91250000e-02
-4.99823953e-06,-8.03125000e-03
-4.99819953e-06,7.83593750e-02
-4.99815953e-06,1.64968750e-01
-4.99811953e-06,1.83859375e-01
-4.99807953e-06,1.04109375e-01
-4.99803953e-06,3.77343750e-02
-4.99799953e-06,-1.70312500e-03
-4.99795953e-06,-8.93281250e-02
-4.99791953e-06,-1.67593750e-01
-4.99787953e-06,-1.92890625e-01
-4.99783953e-06,-1.31921875e-01
-4.99779953e-06,-3.49375000e-02
-4.99775953e-06,2.27187500e-02
-4.99771953e-06,7.99218750e-02
-4.99767953e-06,1.46343750e-01
-4.99763953e-06,1.85390625e-01
-4.99759953e-06,1.27093750e-01
-4.99755953e-06,1.66093750e-02
-4.99751953e-06,-4.91875000e-02
-4.99747953e-06,-9.57343750e-02
-4.99743953e-06,-1.37125000e-01
-4.99739953e-06,-1.79328125e-01
-4.99735953e-06,-1.44062500e-01
-4.99731953e-06,-2.03750000e-02
-4.99727953e-06,5.74062500e-02
-4.99723953e-06,9.75781250e-02
-4.99719953e-06,1.29156250e-01
-4.99715953e-06,1.58000000e-01
-4.99711953e-06,1.42390625e-01
-4.99707953e-06,2.55000000e-02
-4.99703953e-06,-7.77343750e-02
-4.99699953e-06,-1.24812500e-01
-4.99695953e-06,-1.48796875e-01
-4.99691953e-06,-1.50828125e-01
-4.99687953e-06,-1.37093750e-01
-4.99683953e-06,-4.62343750e-02
-4.99679953e-06,7.20937500e-02
-4.99675953e-06,1.34703125e-01
-4.99671953e-06,1.47312500e-01
-4.99667953e-06,1.26078125e-01
-4.99663953e-06,1.19390625e-01
-4.99659953e-06,5.13906250e-02
-4.99655953e-06,-8.47812500e-02
-4.99651953e-06,-1.55343750e-01
-4.99647953e-06,-1.55718750e-01
-4.99643953e-06,-1.25421875e-01
-4.99639953e-06,-1.06906250e-01
-4.99635953e-06,-5.13593750e-02
-4.99631953e-06,7.64062500e-02
-4.99627953e-06,1.64062500e-01
-4.99623953e-06,1.71000000e-01
-4.99619953e-06,1.17046875e-01
-4.99615953e-06,7.44843750e-02
-4.99611953e-06,3.88125000e-02
-4.99607953e-06,-6.67343750e-02
-4.99603953e-06,-1.59109375e-01
-4.99599953e-06,-1.87593750e-01
-4.99595953e-06,-1.41906250e-01
-4.99591953e-06,-6.52656250e-02
-4.99587953e-06,-2.93750000e-02
-4.99583953e-06,5.11093750e-02
-4.99579953e-06,1.50875000e-01
-4.99575953e-06,1.89468750e-01
-4.99571953e-06,1.50015625e-01
-4.99567953e-06,5.10156250e-02
-4.99563953e-06,-3.60937500e-03
-4.99559953e-06,-5.82656250e-02
-4.99555953e-06,-1.49687500e-01
-4.99551953e-06,-1.95796875e-01
-4.99547953e-06,-1.54250000e-01
-4.99543953e-06,-4.79531250e-02
-4.99539953e-06,1.67656250e-02
-4.99535953e-06,6.30468750e-02
-4.99531953e-06,1.29890625e-01
-4.99527953e-06,1.70468750e-01
-4.99523953e-06,1.64718750e-01
-4.99519953e-06,5.85468750e-02
-4.99515953e-06,-4.68281250e-02
-4.99511953e-06,-8.26093750e-02
-4.99507953e-06,-1.33937500e-01
-4.99503953e-06,-1.71781250e-01
-4.99499953e-06,-1.55875000e-01
-4.99495953e-06,-6.49375000e-02
-4.99491953e-06,4.65468750e-02
-4.99487953e-06,9.87812500e-02
-4.99483953e-06,1.26078125e-01
-4.99479953e-06,1.47171875e-01
-4.99475953e-06,1.49843750e-01
-4.99471953e-06,7.54687500e-02
-4.99467953e-06,-5.72031250e-02
-4.99463953e-06,-1.33453125e-01
-4.99459953e-06,-1.45968750e-01
-4.99455953e-06,-1.40093750e-01
-4.99451953e-06,-1.39468750e-01
-4.99447953e-06,-8.29375000e-02
-4.99443953e-06,4.97656250e-02
-4.99439953e-06,1.36281250e-01
-4.99435953e-06,1.47187500e-01
-4.99431953e-06,1.33234375e-01
-4.99427953e-06,1.10875000e-01
-4.99423953e-06,6.13593750e-02
-4.99419953e-06,-4.49062500e-02
-4.99415953e-06,-1.47890625e-01
-4.99411953e-06,-1.74562500e-01
-4.99407953e-06,-1.37390625e-01
-4.99403953e-06,-9.94062500e-02
-4.99399953e-06,-6.00312500e-02
-4.99395953e-06,4.04531250e-02
-4.99391953e-06,1.41093750e-01
-4.99387953e-06,1.75546875e-01
-4.99383953e-06,1.41906250e-01
-4.99379953e-06,7.25937500e-02
-4.99375953e-06,3.74843750e-02
-4.99371953e-06,-2.97656250e-02
-4.99367953e-06,-1.46703125e-01
-4.99363953e-06,-1.99640625e-01
-4.99359953e-06,-1.52125000e-01
-4.99355953e-06,-6.53750000e-02
-4.99351953e-06,-2.37187500e-02
-4.99347953e-06,3.43281250e-02
-4.99343953e-06,1.29859375e-01
-4.99339953e-06,1.80609375e-01
-4.99335953e-06,1.59171875e-01
-4.99331953e-06,5.87031250e-02
-4.99327953e-06,-1.18750000e-02
-4.99323953e-06,-4.79375000e-02
-4.99319953e-06,-1.23218750e-01
-4.99315953e-06,-1.78265625e-01
-4.99311953e-06,-1.70656250e-01
-4.99307953e-06,-7.03281250e-02
-4.99303953e-06,2.62187500e-02
-4.99299953e-06,5.81406250e-02
-4.99295953e-06,1.08859375e-01
-4.99291953e-06,1.61406250e-01
-4.99287953e-06,1.68000000e-01
-4.99283953e-06,7.54843750e-02
-4.99279953e-06,-4.75781250e-02
-4.99275953e-06,-9.53437500e-02
-4.99271953e-06,-1.26843750e-01
-4.99267953e-06,-1.57265625e-01
-4.99263953e-06,-1.57531250e-01
-4.99259953e-06,-8.56718750e-02
-4.99255953e-06,3.15312500e-02
-4.99251953e-06,1.04468750e-01
-4.99247953e-06,1.38843750e-01
-4.99243953e-06,1.37312500e-01
-4.99239953e-06,1.38406250e-01
