TIME (S),Amplitude (V)
-4.99996125e-06,1.43625000e-01
-4.99992125e-06,1.49359375e-01
-4.99988125e-06,1.44015625e-01
-4.99984125e-06,1.35828125e-01
-4.99980125e-06,1.32093750e-01
-4.99976125e-06,8.99218750e-02
-4.99972125e-06,4.85000000e-02
-4.99968125e-06,4.15156250e-02
-4.99964125e-06,1.20156250e-02
-4.99960125e-06,-2.46250000e-02
-4.99956125e-06,-3.10000000e-02
-4.99952125e-06,-2.47656250e-02
-4.99948125e-06,-2.07343750e-02
-4.99944125e-06,-1.32187500e-02
-4.99940125e-06,1.57031250e-02
-4.99936125e-06,5.45625000e-02
-4.99932125e-06,7.08750000e-02
-4.99928125e-06,8.93906250e-02
-4.99924125e-06,1.27390625e-01
-4.99920125e-06,1.44656250e-01
-4.99916125e-06,1.48625000e-01
-4.99912125e-06,1.46468750e-01
-4.99908125e-06,1.30187500e-01
-4.99904125e-06,1.19234375e-01
-4.99900125e-06,8.47656250e-02
-4.99896125e-06,4.49531250e-02
-4.99892125e-06,2.83125000e-02
-4.99888125e-06,-3.14062500e-03
-4.99884125e-06,-2.47812500e-02
-4.99880125e-06,-2.81406250e-02
-4.99876125e-06,-2.48281250e-02
-4.99872125e-06,-1.17031250e-02
-4.99868125e-06,-5.90625000e-03
-4.99864125e-06,2.61093750e-02
-4.99860125e-06,6.37187500e-02
-4.99856125e-06,7.35625000e-02
-4.99852125e-06,1.05234375e-01
-4.99848125e-06,1.35593750e-01
-4.99844125e-06,1.41281250e-01
-4.99840125e-06,1.49640625e-01
-4.99836125e-06,1.40765625e-01
-4.99832125e-06,1.27234375e-01
-4.99828125e-06,1.11515625e-01
-4.99824125e-06,6.50156250e-02
-4.99820125e-06,3.74843750e-02
-4.99816125e-06,2.29218750e-02
-4.99812125e-06,-1.71406250e-02
-4.99808125e-06,-3.30781250e-02
-4.99804125e-06,-3.01562500e-02
-4.99800125e-06,-2.07656250e-02
-4.99796125e-06,-6.32812500e-03
-4.99792125e-06,-3.20312500e-03
-4.99788125e-06,3.60937500e-02
-4.99784125e-06,7.62343750e-02
-4.99780125e-06,8.30468750e-02
-4.99776125e-06,1.17812500e-01
-4.99772125e-06,1.50859375e-01
-4.99768125e-06,1.50515625e-01
-4.99764125e-06,1.43171875e-01
-4.99760125e-06,1.31046875e-01
-4.99756125e-06,1.20625000e-01
-4.99752125e-06,9.58750000e-02
-4.99748125e-06,5.34843750e-02
