TIME (S),Amplitude (V)
-4.99998453e-06,1.07812500e-03
-4.99994453e-06,-7.06875000e-02
-4.99990453e-06,-1.66687500e-01
-4.99986453e-06,-1.92406250e-01
-4.99982453e-06,-1.07078125e-01
-4.99978453e-06,-4.59375000e-03
-4.99974453e-06,5.49843750e-02
-4.99970453e-06,1.01296875e-01
-4.99966453e-06,1.51078125e-01
-4.99962453e-06,1.71562500e-01
-4.99958453e-06,9.32812500e-02
-4.99954453e-06,-3.71875000e-02
-4.99950453e-06,-1.15968750e-01
-4.99946453e-06,-1.37015625e-01
-4.99942453e-06,-1.32218750e-01
-4.99938453e-06,-1.35796875e-01
-4.99934453e-06,-8.60156250e-02
-4.99930453e-06,4.51562500e-02
-4.99926453e-06,1.42250000e-01
-4.99922453e-06,1.59437500e-01
-4.99918453e-06,1.19328125e-01
-4.99914453e-06,8.19062500e-02
-4.99910453e-06,4.85937500e-02
-4.99906453e-06,-5.35937500e-02
-4.99902453e-06,-1.69234375e-01
-4.99898453e-06,-1.90968750e-01
-4.99894453e-06,-1.16218750e-01
-4.99890453e-06,-4.60468750e-02
-4.99886453e-06,-3.98437500e-03
-4.99882453e-06,6.95312500e-02
-4.99878453e-06,1.51218750e-01
-4.99874453e-06,1.84250000e-01
-4.99870453e-06,1.11921875e-01
-4.99866453e-06,-2.82812500e-03
-4.99862453e-06,-6.22656250e-02
-4.99858453e-06,-1.07187500e-01
-4.99854453e-06,-1.47828125e-01
-4.99850453e-06,-1.62187500e-01
-4.99846453e-06,-1.10453125e-01
-4.99842453e-06,1.60468750e-02
-4.99838453e-06,1.07546875e-01
-4.99834453e-06,1.26421875e-01
-4.99830453e-06,1.23500000e-01
-4.99826453e-06,1.23593750e-01
-4.99822453e-06,8.51562500e-02
-4.99818453e-06,-2.97812500e-02
-4.99814453e-06,-1.45406250e-01
-4.99810453e-06,-1.75609375e-01
-4.99806453e-06,-1.24437500e-01
-4.99802453e-06,-7.77343750e-02
-4.99798453e-06,-4.66406250e-02
-4.99794453e-06,4.40312500e-02
-4.99790453e-06,1.50109375e-01
-4.99786453e-06,1.80968750e-01
-4.99782453e-06,1.20078125e-01
-4.99778453e-06,2.87656250e-02
-4.99774453e-06,-2.71250000e-02
-4.99770453e-06,-7.12656250e-02
-4.99766453e-06,-1.41296875e-01
-4.99762453e-06,-1.91546875e-01
-4.99758453e-06,-1.27421875e-01
-4.99754453e-06,-6.68750000e-03
-4.99750453e-06,5.83281250e-02
-4.99746453e-06,9.62500000e-02
-4.99742453e-06,1.33484375e-01
-4.99738453e-06,1.59578125e-01
-4.99734453e-06,1.12906250e-01
-4.99730453e-06,-1.67500000e-02
-4.99726453e-06,-1.18796875e-01
-4.99722453e-06,-1.45500000e-01
-4.99718453e-06,-1.26765625e-01
-4.99714453e-06,-1.20218750e-01
-4.99710453e-06,-8.74218750e-02
-4.99706453e-06,2.36250000e-02
-4.99702453e-06,1.31375000e-01
-4.99698453e-06,1.67062500e-01
-4.99694453e-06,1.20312500e-01
-4.99690453e-06,7.21562500e-02
-4.99686453e-06,3.39687500e-02
-4.99682453e-06,-6.29375000e-02
-4.99678453e-06,-1.53390625e-01
-4.99674453e-06,-1.85093750e-01
-4.99670453e-06,-1.31406250e-01
-4.99666453e-06,-3.65000000e-02
-4.99662453e-06,1.24218750e-02
-4.99658453e-06,6.75468750e-02
-4.99654453e-06,1.40359375e-01
-4.99650453e-06,1.78593750e-01
-4.99646453e-06,1.31921875e-01
-4.99642453e-06,1.07343750e-02
-4.99638453e-06,-7.39531250e-02
-4.99634453e-06,-1.08343750e-01
-4.99630453e-06,-1.35718750e-01
-4.99626453e-06,-1.56468750e-01
-4.99622453e-06,-1.17859375e-01
-4.99618453e-06,6.25000000e-03
-4.99614453e-06,1.12078125e-01
-4.99610453e-06,1.46609375e-01
-4.99606453e-06,1.29562500e-01
-4.99602453e-06,1.05250000e-01
-4.99598453e-06,8.00312500e-02
-4.99594453e-06,-1.52968750e-02
-4.99590453e-06,-1.32437500e-01
-4.99586453e-06,-1.84328125e-01
-4.99582453e-06,-1.36796875e-01
-4.99578453e-06,-5.89218750e-02
-4.99574453e-06,-3.41250000e-02
-4.99570453e-06,3.42656250e-02
-4.99566453e-06,1.39781250e-01
-4.99562453e-06,1.78859375e-01
-4.99558453e-06,1.29765625e-01
-4.99554453e-06,2.54531250e-02
-4.99550453e-06,-3.56093750e-02
-4.99546453e-06,-7.28437500e-02
-4.99542453e-06,-1.39265625e-01
-4.99538453e-06,-1.79609375e-01
-4.99534453e-06,-1.32171875e-01
-4.99530453e-06,-1.37500000e-02
-4.99526453e-06,7.64531250e-02
-4.99522453e-06,1.13265625e-01
-4.99518453e-06,1.30109375e-01
-4.99514453e-06,1.41796875e-01
-4.99510453e-06,1.17890625e-01
-4.99506453e-06,4.31250000e-03
-4.99502453e-06,-1.20515625e-01
-4.99498453e-06,-1.57937500e-01
-4.99494453e-06,-1.31453125e-01
-4.99490453e-06,-1.05781250e-01
-4.99486453e-06,-7.81093750e-02
-4.99482453e-06,1.17031250e-02
-4.99478453e-06,1.27859375e-01
-4.99474453e-06,1.83453125e-01
-4.99470453e-06,1.37578125e-01
-4.99466453e-06,5.74687500e-02
-4.99462453e-06,2.03750000e-02
-4.99458453e-06,-4.32968750e-02
-4.99454453e-06,-1.39500000e-01
-4.99450453e-06,-1.86937500e-01
-4.99446453e-06,-1.40500000e-01
-4.99442453e-06,-3.94375000e-02
-4.99438453e-06,2.48437500e-02
-4.99434453e-06,7.61718750e-02
-4.99430453e-06,1.27484375e-01
-4.99426453e-06,1.57796875e-01
-4.99422453e-06,1.39781250e-01
-4.99418453e-06,2.54531250e-02
-4.99414453e-06,-8.92343750e-02
-4.99410453e-06,-1.29250000e-01
-4.99406453e-06,-1.29312500e-01
-4.99402453e-06,-1.30281250e-01
-4.99398453e-06,-1.13828125e-01
-4.99394453e-06,-8.67187500e-03
-4.99390453e-06,1.16250000e-01
