number,value,params_acts,params_batch_size,params_bn,params_dropout,params_l2,params_lr,params_n_hidden,params_n_nodes,params_optim,state
0,0.098155051,relu,2048,TRUE,0.039459483,1.0976734304699888e-06,2.937588947332885e-05,7,256,AdamW,COMPLETE
1,0.20930324494838715,relu,512,TRUE,0.017618007,1.3236205756461456e-06,3.5542093474411245e-06,6,512,Adadelta,COMPLETE
2,0.15569382905960083,tanh,1024,TRUE,0.070158002,0.002754421,3.588490048628842e-06,4,64,RMSprop,COMPLETE
3,0.19797882437705994,relu,1024,FALSE,0.008328428,9.303901308702139e-06,0.000936193,9,512,SGD,COMPLETE
4,0.20999206602573395,tanh,1024,TRUE,0.061431861,2.392491157535898e-05,3.54369967635536e-06,7,64,SGD,COMPLETE
5,0.098744236,selu,512,TRUE,0.020627623,1.8947614299914696e-06,0.003942364,7,128,Adam,COMPLETE
6,0.20980332791805267,selu,1024,TRUE,0.067396944,0.000657633,1.4671352160024036e-06,7,256,SGD,COMPLETE
7,0.19805112481117249,elu,256,FALSE,0.08054831,0.003735807,0.000249914,9,512,Adadelta,COMPLETE
8,0.098261572,relu,256,TRUE,0.09141097,7.393640433283229e-06,7.614144474545391e-05,7,1024,AdamW,COMPLETE
9,0.10608729720115662,elu,1024,FALSE,0.042577277381350996,1.7713169930771404e-06,0.000258621,5,64,RMSprop,COMPLETE
10,0.098181881,relu,2048,FALSE,0.042074956,0.000143289,2.8938852564975557e-05,10,256,AdamW,COMPLETE
11,0.098172523,relu,2048,FALSE,0.039328523982841444,0.000158171,3.1269992929919534e-05,10,256,AdamW,COMPLETE
12,0.098167352,relu,2048,FALSE,0.032112314,0.000146415,2.404117035937205e-05,9,256,AdamW,COMPLETE
13,0.197290838,relu,2048,FALSE,0.028218604495712896,4.223926854781542e-05,1.5363096819813545e-05,8,256,Adagrad,COMPLETE
14,0.09819717,relu,2048,TRUE,0.056339204,0.000549227,9.463412156890681e-06,8,256,AdamW,COMPLETE
15,0.098141193,relu,2048,FALSE,0.02980486,0.000695658,0.000114229,6,1024,AdamW,COMPLETE
16,0.10779279470443726,elu,2048,FALSE,0.003078607,0.000758115,0.000128354,5,1024,Adagrad,COMPLETE
17,0.19377829134464264,tanh,2048,TRUE,0.049142377,0.00999496,0.000680557,6,1024,Adam,COMPLETE
18,0.098922201,selu,2048,FALSE,0.02055075,4.3220890005651496e-05,0.007255661,6,128,AdamW,COMPLETE
19,0.0982683,relu,256,TRUE,0.032331353,4.5607960190486854e-06,7.07629484904824e-05,5,1024,AdamW,COMPLETE
20,0.098239683,relu,512,TRUE,0.049015459,0.000347972,0.000606424,4,1024,AdamW,COMPLETE
21,0.098152287,relu,2048,FALSE,0.031811813349200274,0.00186774,3.219746806912277e-05,8,256,AdamW,COMPLETE
22,0.09817607,relu,2048,FALSE,0.027215517649855567,0.001838977,9.451148995034795e-06,8,256,AdamW,COMPLETE
23,0.098148249,relu,2048,FALSE,0.011921907644680506,0.001485885,5.1145368185075593e-05,8,256,AdamW,COMPLETE
24,0.098208979,relu,2048,FALSE,0.012446904798423971,0.001619935,0.000165097,8,128,AdamW,COMPLETE
