Frequency (Hz),Power (dBm)
10000000,-75.2837982177755
10312197.2561643,-136.541144370782
10624394.5123285,-76.5464019775446
10936591.7684928,-145.037726402032
11248789.024657,-76.4670181274466
11560986.2808213,-137.728766441094
11873183.5369855,-77.4400634765735
12185380.7931498,-132.801733970391
12497578.049314,-76.7433319091861
12809775.3054783,-131.12239742254
13121972.5616426,-77.1614913940519
13434169.8178068,-141.049170493829
13746367.0739711,-76.9615783691483
14058564.3301353,-135.985449790704
14370761.5862996,-79.3515777588368
14682958.8424638,-132.839911460626
14995156.0986281,-77.4862976074333
15307353.3547923,-137.259802818047
15619550.6109566,-76.6418380737365
15931747.8671208,-142.27278804754
16243945.1232851,-78.3285064697484
16556142.3794494,-141.249747276055
16868339.6356136,-78.9921417236692
17180536.8917779,-143.554495811212
17492734.1479421,-80.5163879395703
17804931.4041064,-143.879324912774
18117128.6602706,-79.5278854370667
18429325.9164349,-137.312644004571
18741523.1725991,-79.5330200195865
19053720.4287634,-135.196753501641
19365917.6849277,-79.3926315308114
19678114.9410919,-136.332221030938
19990312.1972562,-78.7539596557922
20302509.4534204,-136.411581992852
20614706.7095847,-80.2326354981416
20926903.9657489,-138.541419028985
21239101.2219132,-79.7372741699867
21551298.4780774,-132.189337730157
21863495.7342417,-80.7206115724035
22175692.990406,-134.066351890313
22487890.2465702,-80.7250061036541
22800087.5027345,-133.125632285821
23112284.7588987,-81.1916732790069
23424482.015063,-139.718726157891
23736679.2712272,-81.4415435793419
24048876.5273915,-132.018790244805
24361073.7835557,-80.5662231446542
24673271.03972,-137.058966636407
24985468.2958842,-80.9932022096434
25297665.5520485,-131.648612022149
25609862.8082128,-80.0221633911943
25922060.064377,-138.463522910821
26234257.3205413,-80.634216308723
26546454.5767055,-133.27913570379
26858651.8328698,-81.9915008548577
27170849.089034,-134.29100704168
27483046.3451983,-81.784103393866
27795243.6013625,-133.38394832586
28107440.8575268,-81.8971405032687
28419638.1136911,-145.148657798516
28731835.3698553,-82.2600555424393
29044032.6260196,-144.289374351251
29356229.8821838,-82.6626510626196
29668427.1383481,-143.149344444024
29980624.3945123,-84.1904449482476
30292821.6506766,-136.456137656915
30605018.9068408,-82.9159164436071
30917216.1630051,-133.09586238836
31229413.4191694,-82.5233154302314
31541610.6753336,-137.167258262383
31853807.9314979,-84.3024520895272
32166005.1876621,-138.442236900079
32478202.4438264,-83.9017639175761
32790399.6999906,-133.752463340508
33102596.9561549,-84.3418502829454
33414794.2123191,-137.532828330743
33726991.4684834,-82.2684478764213
34039188.7246476,-135.055945396172
34351385.9808119,-82.8952026374368
34663583.2369762,-139.196433067071
