Time (s),Amplitude
0.0,100000000.0
1.3157894736842104e-10,100000000.00826725
2.631578947368421e-10,100000000.01653394
3.947368421052632e-10,100000000.02479951
5.263157894736842e-10,100000000.03306337
6.578947368421053e-10,100000000.04132497
7.894736842105264e-10,100000000.04958375
9.210526315789473e-10,100000000.05783914
1.0526315789473683e-09,100000000.06609058
1.1842105263157895e-09,100000000.07433751
1.3157894736842105e-09,100000000.08257934
1.4473684210526315e-09,100000000.09081554
1.5789473684210527e-09,100000000.09904553
1.7105263157894737e-09,100000000.10726875
1.8421052631578947e-09,100000000.11548464
1.9736842105263157e-09,100000000.12369263
2.1052631578947367e-09,100000000.13189217
2.236842105263158e-09,100000000.1400827
2.368421052631579e-09,100000000.14826365
2.5e-09,100000000.15643446
2.631578947368421e-09,100000000.16459459
2.763157894736842e-09,100000000.17274347
2.894736842105263e-09,100000000.18088053
3.026315789473684e-09,100000000.18900524
3.1578947368421054e-09,100000000.19711703
3.2894736842105264e-09,100000000.20521533
3.4210526315789474e-09,100000000.21329963
3.5526315789473684e-09,100000000.22136934
3.6842105263157894e-09,100000000.22942393
3.815789473684211e-09,100000000.23746282
3.947368421052631e-09,100000000.24548548
4.078947368421053e-09,100000000.25349137
4.210526315789473e-09,100000000.26147994
4.342105263157895e-09,100000000.26945063
4.473684210526316e-09,100000000.27740291
4.605263157894737e-09,100000000.28533623
4.736842105263158e-09,100000000.29325004
4.868421052631579e-09,100000000.30114381
5e-09,100000000.30901699
5.131578947368421e-09,100000000.31686907
5.263157894736842e-09,100000000.32469948
5.3947368421052635e-09,100000000.33250768
5.526315789473684e-09,100000000.34029317
5.6578947368421055e-09,100000000.3480554
5.789473684210526e-09,100000000.35579385
5.9210526315789474e-09,100000000.36350797
6.052631578947368e-09,100000000.37119725
6.1842105263157894e-09,100000000.37886116
6.315789473684211e-09,100000000.38649917
6.447368421052631e-09,100000000.39411077
6.578947368421053e-09,100000000.40169543
6.710526315789473e-09,100000000.40925263
6.842105263157895e-09,100000000.41678186
6.973684210526316e-09,100000000.42428261
7.105263157894737e-09,100000000.43175435
7.236842105263158e-09,100000000.43919659
7.368421052631579e-09,100000000.44660881
7.5e-09,100000000.4539905
7.631578947368422e-09,100000000.46134116
7.763157894736842e-09,100000000.4686603
7.894736842105263e-09,100000000.4759474
8.026315789473685e-09,100000000.48320197
8.157894736842106e-09,100000000.4904235
8.289473684210526e-09,100000000.49761152
8.421052631578947e-09,100000000.50476554
8.552631578947369e-09,100000000.51188505
8.68421052631579e-09,100000000.51896958
8.81578947368421e-09,100000000.52601863
8.947368421052632e-09,100000000.53303173
9.078947368421053e-09,100000000.5400084
9.210526315789473e-09,100000000.54694816
9.342105263157894e-09,100000000.55385053
9.473684210526316e-09,100000000.56071506
9.605263157894737e-09,100000000.56754126
9.736842105263157e-09,100000000.57432866
9.86842105263158e-09,100000000.58107682
1e-08,100000000.58778526
1.013157894736842e-08,100000000.59445351
1.0263157894736841e-08,100000000.60108115
1.0394736842105264e-08,100000000.6076677
1.0526315789473684e-08,100000000.6142127
1.0657894736842105e-08,100000000.62071575
1.0789473684210527e-08,100000000.62717636
1.0921052631578948e-08,100000000.6335941
1.1052631578947368e-08,100000000.63996854
1.1184210526315789e-08,100000000.64629924
1.1315789473684211e-08,100000000.65258576
1.1447368421052632e-08,100000000.65882768
1.1578947368421052e-08,100000000.66502458
1.1710526315789474e-08,100000000.671176
1.1842105263157895e-08,100000000.67728157
1.1973684210526315e-08,100000000.68334085
1.2105263157894736e-08,100000000.6893534
1.2236842105263158e-08,100000000.69531886
1.2368421052631579e-08,100000000.70123678
1.25e-08,100000000.70710678
1.2631578947368422e-08,100000000.71292844
1.2763157894736842e-08,100000000.71870139
1.2894736842105263e-08,100000000.72442521
1.3026315789473683e-08,100000000.73009951
1.3157894736842106e-08,100000000.73572391
1.3289473684210526e-08,100000000.74129802
1.3421052631578947e-08,100000000.74682148
1.3552631578947369e-08,100000000.75229388
1.368421052631579e-08,100000000.75771487
1.381578947368421e-08,100000000.76308407
1.3947368421052632e-08,100000000.76840112
1.4078947368421053e-08,100000000.77366564
1.4210526315789474e-08,100000000.77887727
1.4342105263157894e-08,100000000.78403568
1.4473684210526316e-08,100000000.78914051
1.4605263157894737e-08,100000000.79419139
1.4736842105263158e-08,100000000.799188
1.486842105263158e-08,100000000.80412997
1.5e-08,100000000.80901699
1.513157894736842e-08,100000000.81384872
1.5263157894736843e-08,100000000.81862481
1.5394736842105262e-08,100000000.82334496
1.5526315789473684e-08,100000000.82800883
1.5657894736842107e-08,100000000.8326161
1.5789473684210525e-08,100000000.83716647
1.5921052631578948e-08,100000000.84165964
1.605263157894737e-08,100000000.84609525
1.618421052631579e-08,100000000.85047305
1.631578947368421e-08,100000000.85479271
1.644736842105263e-08,100000000.85905395
1.6578947368421052e-08,100000000.86325648
1.6710526315789474e-08,100000000.8674
1.6842105263157893e-08,100000000.87148425
1.6973684210526316e-08,100000000.87550892
1.7105263157894738e-08,100000000.87947375
1.7236842105263157e-08,100000000.88337848
1.736842105263158e-08,100000000.88722283
1.75e-08,100000000.89100653
1.763157894736842e-08,100000000.89472933
1.7763157894736842e-08,100000000.89839098
1.7894736842105265e-08,100000000.90199123
1.8026315789473683e-08,100000000.90552983
1.8157894736842106e-08,100000000.90900654
1.8289473684210528e-08,100000000.9124211
1.8421052631578947e-08,100000000.91577333
1.855263157894737e-08,100000000.91906294
1.8684210526315788e-08,100000000.92228976
1.881578947368421e-08,100000000.92545353
1.8947368421052632e-08,100000000.92855404
1.907894736842105e-08,100000000.9315911
1.9210526315789474e-08,100000000.93456447
1.9342105263157896e-08,100000000.93747397
1.9473684210526315e-08,100000000.94031939
1.9605263157894737e-08,100000000.94310054
1.973684210526316e-08,100000000.94581725
1.9868421052631578e-08,100000000.9484693
2e-08,100000000.95105651
2.0131578947368423e-08,100000000.95357874
2.026315789473684e-08,100000000.95603578
2.0394736842105264e-08,100000000.95842749
2.0526315789473683e-08,100000000.96075368
2.0657894736842105e-08,100000000.9630142
2.0789473684210527e-08,100000000.9652089
2.0921052631578946e-08,100000000.96733765
2.1052631578947368e-08,100000000.96940027
2.118421052631579e-08,100000000.97139663
2.131578947368421e-08,100000000.9733266
2.1447368421052632e-08,100000000.97519004
2.1578947368421054e-08,100000000.97698683
2.1710526315789473e-08,100000000.97871685
2.1842105263157895e-08,100000000.98037997
2.1973684210526317e-08,100000000.98197608
2.2105263157894736e-08,100000000.98350507
2.223684210526316e-08,100000000.98496684
2.2368421052631577e-08,100000000.98636131
2.25e-08,100000000.98768835
2.2631578947368422e-08,100000000.98894787
2.276315789473684e-08,100000000.99013981
2.2894736842105263e-08,100000000.99126408
2.3026315789473685e-08,100000000.99232058
2.3157894736842104e-08,100000000.99330926
2.3289473684210526e-08,100000000.99423006
2.342105263157895e-08,100000000.9950829
2.3552631578947368e-08,100000000.99586773
2.368421052631579e-08,100000000.99658449
2.3815789473684212e-08,100000000.99723314
2.394736842105263e-08,100000000.99781363
