Frequency (Hz),Power (dBm)
10000000,-77.02307129
10312197.26,-139.5628729
10624394.51,-77.32952118
10936591.77,-135.9646063
11248789.02,-76.66733551
11560986.28,-133.9729223
11873183.54,-77.58158112
12185380.79,-138.0400457
12497578.05,-77.10312653
12809775.31,-137.1478186
13121972.56,-77.82923126
13434169.82,-135.7308416
13746367.07,-77.63665771
14058564.33,-135.9792395
14370761.59,-78.44287109
14682958.84,-132.5698614
14995156.1,-78.30690002
15307353.35,-140.9157934
15619550.61,-78.46562958
15931747.87,-141.6470404
16243945.12,-78.19368744
16556142.38,-134.1264105
16868339.64,-78.59642029
17180536.89,-135.098731
17492734.15,-77.50797272
17804931.4,-141.9108343
18117128.66,-78.45602417
18429325.92,-153.2126837
18741523.17,-78.79555511
19053720.43,-137.1197577
19365917.68,-79.15124512
19678114.94,-135.9938269
19990312.2,-79.13065338
20302509.45,-130.713294
20614706.71,-78.1678772
20926903.97,-136.1187353
21239101.22,-78.36115265
21551298.48,-128.3945379
21863495.73,-79.79499817
22175692.99,-134.1343908
22487890.25,-79.10855865
22800087.5,-128.8369513
23112284.76,-79.31947327
23424482.02,-130.9204779
23736679.27,-80.06394959
24048876.53,-130.8528509
24361073.78,-79.86843872
24673271.04,-129.6049109
24985468.3,-79.66558838
25297665.55,-130.9096746
25609862.81,-79.39420319
25922060.06,-137.5452642
26234257.32,-79.41536713
26546454.58,-129.4909582
26858651.83,-79.76211548
27170849.09,-134.7316351
27483046.35,-79.95526123
27795243.6,-136.4027472
28107440.86,-81.63150024
28419638.11,-143.4800329
28731835.37,-79.77711487
29044032.63,-134.2512884
29356229.88,-79.39774323
29668427.14,-133.9321814
29980624.39,-80.05462646
30292821.65,-131.1738195
30605018.91,-81.1877594
30917216.16,-132.2665319
31229413.42,-79.88015747
31541610.68,-133.2129889
31853807.93,-80.15414429
32166005.19,-146.5732489
32478202.44,-80.39579773
32790399.7,-136.6066351
33102596.96,-80.4801712
33414794.21,-133.520484
33726991.47,-80.06331635
34039188.72,-130.2858801
34351385.98,-80.41300201
34663583.24,-131.8261633
34975780.49,-80.33200836
35287977.75,-140.7863684
35600175.01,-80.04597473
35912372.26,-135.6005163
36224569.52,-81.04681397
36536766.77,-142.6292944
36848964.03,-80.65421295
37161161.29,-142.7673254
37473358.54,-80.42697144
37785555.8,-129.8389044
38097753.05,-80.51281738
38409950.31,-130.210639
38722147.57,-80.53472137
39034344.82,-134.7891455
39346542.08,-81.0578537
39658739.34,-135.362998
39970936.59,-80.04716492
40283133.85,-132.1408911
40595331.1,-81.30670166
40907528.36,-131.5248632
41219725.62,-80.81047821
41531922.87,-132.3302069
41844120.13,-80.77064514
42156317.38,-130.8638678
42468514.64,-81.21587372
42780711.9,-132.3887091
43092909.15,-80.91734314
43405106.41,-131.5874853
43717303.67,-80.55854797
44029500.92,-140.3139868
44341698.18,-82.22009277
44653895.43,-136.5928564
44966092.69,-82.68516541
45278289.95,-140.2394629
45590487.2,-81.54072571
45902684.46,-133.709403
46214881.72,-80.18315125
46527078.97,-135.2114782
46839276.23,-80.68643951
47151473.48,-130.3137121
47463670.74,-81.51309967
47775868,-140.3528051
48088065.25,-83.18273163
48400262.51,-134.8273993
48712459.76,-81.63848114
49024657.02,-135.2094183
49336854.28,-81.42740631
49649051.53,-132.9052496
49961248.79,-81.84544373
50273446.05,-136.6748571
50585643.3,-82.61671448
50897840.56,-138.3206396
51210037.81,-81.26027679
51522235.07,-136.0675879
51834432.33,-82.86196137
52146629.58,-135.2285376
52458826.84,-81.29606628
52771024.09,-135.6058111
53083221.35,-82.03566742
53395418.61,-140.5602789
53707615.86,-83.53887177
54019813.12,-137.0585699
54332010.38,-83.2936554
54644207.63,-133.6913366
54956404.89,-82.23854065
55268602.14,-129.270957
55580799.4,-82.24246979
55892996.66,-135.396903
56205193.91,-82.25889587
56517391.17,-132.173728
56829588.42,-82.95513916
57141785.68,-145.7394476
57453982.94,-84.16215515
57766180.19,-139.1458502
58078377.45,-82.62860107
58390574.71,-139.9934912
58702771.96,-83.09113312
59014969.22,-133.6071386
59327166.47,-83.88217926
59639363.73,-136.5199499
59951560.99,-83.35181427
60263758.24,-133.8038702
60575955.5,-82.24360657
60888152.75,-131.0918951
61200350.01,-83.81337738
61512547.27,-139.0916204
61824744.52,-82.35447693
62136941.78,-132.9056005
62449139.04,-83.57514954
62761336.29,-132.8761511
63073533.55,-82.95700836
63385730.8,-133.7161322
63697928.06,-84.93687439
64010125.32,-141.8018408
64322322.57,-84.16587067
64634519.83,-137.0864325
64946717.08,-85.23955536
65258914.34,-132.6150274
65571111.6,-83.08099365
65883308.85,-137.5272894
66195506.11,-84.05252838
66507703.37,-136.7217474
66819900.62,-84.85355378
67132097.88,-134.1148748
67444295.13,-85.82949067
67756492.39,-139.7098913
68068689.65,-83.2226181
68380886.9,-130.1336126
68693084.16,-83.7355423
69005281.42,-138.8704748
69317478.67,-83.73769379
69629675.93,-132.0590277
69941873.18,-88.43315129
70254070.44,-128.8546515
70566267.7,-83.83018494
70878464.95,-136.5714331
71190662.21,-85.9599762
71502859.46,-131.3393621
71815056.72,-84.07701111
72127253.98,-153.8768682
72439451.23,-85.85109711
72751648.49,-137.1084967
73063845.75,-84.46054077
73376043,-139.9085608
73688240.26,-84.1613617
74000437.51,-138.4136419
74312634.77,-85.54960633
74624832.03,-140.6551428
74937029.28,-84.68820191
75249226.54,-136.5019598
75561423.79,-85.15557099
75873621.05,-147.115119
76185818.31,-88.29736333
76498015.56,-137.3808355
76810212.82,-86.10572816
77122410.08,-136.4966497
77434607.33,-85.33031464
77746804.59,-139.2188025
78059001.84,-86.7192917
78371199.1,-135.9908972
78683396.36,-87.21752169
78995593.61,-130.9153662
79307790.87,-87.11972048
79619988.12,-130.4008551
79932185.38,-88.99154671
80244382.64,-138.7151861
80556579.89,-86.44116212
80868777.15,-133.9884558
81180974.41,-86.97805025
81493171.66,-133.2245092
81805368.92,-88.08892063
82117566.17,-145.4887762
82429763.43,-85.8653946
82741960.69,-132.1493292
83054157.94,-87.21438601
83366355.2,-130.0117865
83678552.45,-89.14103707
83990749.71,-138.0406256
84302946.97,-86.54636384
84615144.22,-138.798728
84927341.48,-86.4298935
85239538.74,-142.7133856
85551735.99,-87.24679567
85863933.25,-131.6706152
86176130.5,-92.88561401
86488327.76,-134.6327887
86800525.02,-87.80905154
87112722.27,-137.922019
87424919.53,-88.19748692
87737116.78,-132.1252203
88049314.04,-87.24318697
88361511.3,-136.6741247
88673708.55,-90.76538879
88985905.81,-140.3954992
89298103.07,-92.83242182
89610300.32,-138.1293402
89922497.58,-90.06356066
90234694.83,-132.4119177
90546892.09,-90.12641925
90859089.35,-134.5362768
91171286.6,-89.40289317
91483483.86,-136.9083014
91795681.12,-92.5730603
92107878.37,-136.3266211
92420075.63,-92.56682708
92732272.88,-134.7975988
93044470.14,-88.30090337
93356667.4,-134.3695135
93668864.65,-89.57346356
93981061.91,-139.4402227
94293259.16,-91.63681853
94605456.42,-132.4021215
94917653.68,-92.81898647
95229850.93,-136.601203
95542048.19,-91.2796788
95854245.45,-131.6128302
96166442.7,-93.43563318
96478639.96,-134.7609625
96790837.21,-91.67731538
97103034.47,-133.5508947
97415231.73,-92.18847748
97727428.98,-140.1201544
98039626.24,-95.22489347
98351823.49,-135.0649023
98664020.75,-93.64956947
98976218.01,-140.0194921
99288415.26,-98.87831014
99600612.52,-138.0076208
99912809.78,-92.85440217
100225007,-133.2021551
100537204.3,-93.73939055
100849401.5,-133.0839148
101161598.8,-98.70986835
101473796.1,-132.4717932
101785993.3,-99.73298548
102098190.6,-138.2021704
102410387.8,-98.41458785
102722585.1,-129.9702368
103034782.3,-94.8222879
103346979.6,-139.3267889
103659176.8,-99.19599052
103971374.1,-132.2780981
104283571.4,-95.34279157
104595768.6,-132.9337378
104907965.9,-97.26914809
105220163.1,-133.4916449
105532360.4,-95.95075339
105844557.6,-131.5360632
106156754.9,-100.7801046
106468952.2,-135.5503607
106781149.4,-97.03201094
107093346.7,-133.5741949
107405543.9,-99.8145666
107717741.2,-139.683814
108029938.4,-92.35501969
108342135.7,-132.28234
108654332.9,-100.2865591
108966530.2,-135.007575
109278727.5,-101.5867453
109590924.7,-131.605628
109903122,-101.0672293
110215319.2,-140.3213263
110527516.5,-100.6322241
110839713.7,-134.4059057
111151911,-100.8307409
111464108.3,-136.7857122
111776305.5,-98.14683419
112088502.8,-145.7909765
112400700,-101.3571234
112712897.3,-133.9394751
113025094.5,-97.12103088
113337291.8,-134.0123053
113649489,-100.8817816
