Frequency (Hz),Power (dBm)
500000000,-71.4686210244305
509500000,-95.261711844743
519000000,-71.2067573159344
528500000,-101.290978202165
538000000,-70.8612678139813
547500000,-99.6004722207196
557000000,-69.7000053017743
566500000,-105.462853202165
576000000,-70.278298148454
585500000,-100.007660636247
595000000,-71.4345862954266
604500000,-110.396446952165
614000000,-70.3772819131024
623500000,-97.856064566911
633000000,-70.6223456948407
642500000,-99.4401328652508
652000000,-70.8661658852704
661500000,-93.4115226357587
671000000,-68.2937018960126
680500000,-97.0510642617352
690000000,-69.8777167885907
699500000,-98.9858100503094
709000000,-70.3207099526532
718500000,-100.263420829118
728000000,-67.7801597207196
737500000,-96.2994773476727
747000000,-70.0314490883954
756500000,-100.639878043474
766000000,-69.983635672868
775500000,-103.485123404802
785000000,-70.3377158730633
794500000,-98.9821937173016
804000000,-71.0762107461102
813500000,-93.4705131142743
823000000,-68.9986198037274
832500000,-95.495110282243
842000000,-70.260475882829
851500000,-94.058701285661
861000000,-69.6166236489423
870500000,-97.7164390175946
880000000,-69.9860694497235
889500000,-99.7589728921063
899000000,-68.3212211220868
908500000,-105.246346244157
918000000,-70.681145438493
927500000,-97.1006782143719
937000000,-71.2567756264813
946500000,-97.0824134438641
956000000,-70.6491706460126
965500000,-104.981217154802
975000000,-70.5626990883954
984500000,-96.7533423989423
994000000,-69.4570853798993
1003500000,-96.6707007973798
1013000000,-69.5137183755048
1022500000,-97.6575172036298
1032000000,-70.4954383462079
1041500000,-96.2440726845868
1051000000,-70.2330939858563
1060500000,-97.5068976967938
1070000000,-70.3352286904462
1079500000,-98.5101630776532
1089000000,-70.2596442788251
1098500000,-95.6601417153485
1108000000,-69.9643027871258
1117500000,-93.7749183266766
1127000000,-70.622048148454
1136500000,-107.600579032243
1146000000,-70.0816657632001
1155500000,-99.2219245522626
1165000000,-71.2287299721844
1174500000,-92.7706992715008
1184000000,-69.2693564980633
1193500000,-97.1843650429852
1203000000,-69.382317313493
1212500000,-92.5920875161298
1222000000,-70.2540748208173
1231500000,-101.680710563005
1241000000,-68.3659827798016
1250500000,-101.412461051286
1260000000,-68.6843345254071
1269500000,-97.6501090615399
1279000000,-68.9138190835126
1288500000,-91.4222419350751
1298000000,-69.720322379411
1307500000,-96.7117850869305
1317000000,-70.3359687417157
1326500000,-97.6328971474774
1336000000,-68.3553397744305
1345500000,-97.5719153969891
1355000000,-69.6183555215008
1364500000,-96.0485999673016
1374000000,-69.0280387490399
1383500000,-98.5480430215008
1393000000,-70.4015815346844
1402500000,-98.9721305459149
1412000000,-70.4843299477704
1421500000,-94.7528541176923
1431000000,-70.3919074624188
1440500000,-100.123032340349
1450000000,-69.7989280312665
1459500000,-108.113480338395
1469000000,-69.0267036049969
1478500000,-99.6461951821454
1488000000,-69.8398444741376
1497500000,-104.086449393571
1507000000,-69.1731650918133
1516500000,-96.6999671548016
1526000000,-68.1148307412274
1535500000,-97.5072639077313
1545000000,-68.017327079118
1554500000,-95.7144248574383
1564000000,-67.9869544594891
1573500000,-91.6363990395673
1583000000,-69.2244193642743
1592500000,-90.9511039345868
1602000000,-69.6045157998212
1611500000,-98.0605018227704
1621000000,-70.2393882363446
1630500000,-94.6977851479657
1640000000,-69.0923011391766
1649500000,-97.5852592080243
1659000000,-68.8883979409344
1668500000,-98.0787360757001
1678000000,-69.2390449135907
1687500000,-95.1085898965008
1697000000,-69.3988730996258
1706500000,-96.0835654824383
1716000000,-67.2301490395673
1725500000,-94.4982001870282
1735000000,-69.4652030556805
1744500000,-95.874375113786
1754000000,-67.9464957802899
1763500000,-99.0335853188641
1773000000,-67.4143073647626
1782500000,-94.5265586465008
1792000000,-70.4540565102704
1801500000,-97.2399528115399
1811000000,-68.5750205605633
1820500000,-102.683205375016
1830000000,-69.6875617592938
1839500000,-94.3197639077313
1849000000,-68.2410819619305
1858500000,-105.597985038102
1868000000,-68.6433723061688
1877500000,-96.8180320351727
1887000000,-67.4574897378094
1896500000,-105.101959952653
1906000000,-68.4537589638837
1915500000,-97.4383552163251
1925000000,-68.394150504411
1934500000,-89.1798102944501
1944000000,-69.845436820329
1953500000,-104.898506888688
1963000000,-67.2864234536298
1972500000,-107.32157970363
1982000000,-68.7774970620282
1991500000,-90.8400428383954
2001000000,-10.8941059112549
2010500000,-106.28975749904
2020000000,-67.435295829118
2029500000,-102.614258536638
2039000000,-68.5688102334149
2048500000,-103.127411612809
2058000000,-68.4211814492352
2067500000,-96.387070426286
2077000000,-69.3212592690594
2086500000,-99.0970084756024
2096000000,-68.2638328164227
2105500000,-93.8617408364423
2115000000,-66.8786780923016
2124500000,-95.5183494179852
2134000000,-66.0906303017743
2143500000,-95.328850516618
2153000000,-66.390862235368
2162500000,-96.4321677773602
2172000000,-66.742295035661
2181500000,-97.4853217690594
2191000000,-68.3723838418133
2200500000,-97.398918875993
2210000000,-68.1610038369305
2219500000,-95.9196174233563
2229000000,-68.4191901772626
2238500000,-100.334168204606
2248000000,-69.4226310341962
2257500000,-105.227989920915
2267000000,-66.2655646889813
2276500000,-95.2608192055829
2286000000,-67.8918922036298
2295500000,-102.609307059587
2305000000,-68.8484122841962
2314500000,-93.5571296303876
2324000000,-68.1399695962079
2333500000,-93.7074592202313
2343000000,-67.9092490761883
2352500000,-92.981926688493
2362000000,-69.190911063493
2371500000,-94.7680671303876
2381000000,-68.667343863786
2390500000,-94.5604560464032
2400000000,-68.583962210954
2409500000,-97.125710257829
2419000000,-68.1792533486493
2428500000,-93.3807456582196
2438000000,-66.0478141396649
2447500000,-97.1130607216962
2457000000,-65.9299018471844
2466500000,-97.7508704751141
2476000000,-66.805771598161
2485500000,-97.9571006386883
2495000000,-67.0328834145673
2504500000,-91.6195533364423
2514000000,-66.2582557290204
2523500000,-93.9803931801923
2533000000,-67.1724631875165
2542500000,-98.3578116982587
2552000000,-67.902451285661
2561500000,-96.4733512490399
2571000000,-66.1165778725751
2580500000,-99.9145209878094
2590000000,-66.9959800332196
2599500000,-98.2822272866376
2609000000,-67.6950080483563
2618500000,-95.7505500405438
2628000000,-65.687477835954
2637500000,-92.0305335610516
2647000000,-66.9229819863446
2656500000,-89.1452643960126
2666000000,-66.9974753945477
2675500000,-92.2343070595868
2685000000,-66.4804313271649
2694500000,-91.0518500893719
2704000000,-67.1929633706219
2713500000,-92.1172492592938
2723000000,-66.3421561806805
2732500000,-92.0646598427899
2742000000,-66.2975013344891
2751500000,-99.4108970254071
2761000000,-66.8810432046063
2770500000,-92.3515174477704
2780000000,-67.7353370278485
2789500000,-92.4542243569501
2799000000,-67.3356025307782
