Frequency (Hz),Power (dBm)
1000000000,-71.2597511405048
1009000000,-96.4590919608173
1018000000,-71.7532966727314
1027000000,-95.8439262503681
1036000000,-71.6919410819111
1045000000,-99.2019966239033
1054000000,-70.7545936698017
1063000000,-104.003189861208
1072000000,-69.8204429740009
1081000000,-106.121620952517
1090000000,-68.6250846976338
1099000000,-99.562889873415
1108000000,-69.6164787406025
1117000000,-98.4782264823017
1126000000,-71.4251182669697
1135000000,-97.7411888236103
1144000000,-70.0931556815205
1153000000,-98.4113777274189
1162000000,-71.2567909354267
1171000000,-97.1873634451923
1180000000,-70.7177055472431
1189000000,-98.2606590384541
1198000000,-70.4548042410908
1207000000,-96.6460731619892
1216000000,-69.8976219290791
1225000000,-97.1395729178486
1234000000,-70.484764873415
1243000000,-107.972786724001
1252000000,-70.2227256888447
1261000000,-108.989182292849
1270000000,-71.078156291872
1279000000,-94.7040947073994
1288000000,-69.6179969901142
1297000000,-97.9409645194111
1306000000,-70.417267619997
1315000000,-95.8408134573994
1324000000,-69.0596397513447
1333000000,-96.0866935843525
1342000000,-70.3128975028095
1351000000,-109.312454997927
1360000000,-70.0941932791767
1369000000,-94.982193767458
1378000000,-69.9239051932392
1387000000,-116.926285564333
1396000000,-70.0585106009541
1405000000,-100.813507854372
1414000000,-68.8909767264423
1423000000,-94.9329078787861
1432000000,-69.2698906058369
1441000000,-104.065705119997
1450000000,-69.5100639456806
1459000000,-97.083756267458
1468000000,-69.8992622489033
1477000000,-93.7188652152119
1486000000,-69.3146217459736
1495000000,-99.1029899710713
1504000000,-70.0943458670673
1513000000,-93.9737175101338
1522000000,-69.5341041678486
1531000000,-93.8793800467548
1540000000,-69.981949626833
1549000000,-92.1646202200947
1558000000,-69.9622657889423
1567000000,-94.9930503958759
1576000000,-69.8856971854267
1585000000,-93.7870720023213
1594000000,-68.1255272025166
1603000000,-98.9459007376728
1612000000,-69.2711189383564
1621000000,-94.6202324027119
1630000000,-68.154312908083
1639000000,-107.816521465212
1648000000,-70.384178935915
1657000000,-104.439980327517
1666000000,-70.0338829154072
1675000000,-105.790901958376
1684000000,-70.4899528616963
1693000000,-97.0715263480244
1702000000,-70.5193489188252
1711000000,-95.7657249564228
1720000000,-70.5594490164814
1729000000,-95.801544963747
1738000000,-70.0552223319111
1747000000,-96.6288154715595
1756000000,-69.7644889945088
1765000000,-96.871598064333
1774000000,-69.1075370902119
1783000000,-97.6073387259541
1792000000,-68.5970161551533
1801000000,-95.3716743582783
